Date,User,Tweet,sentiment
2020-02-29 23:58:20+00:00,faiyazasm,# borisjohnson proven islamophob publicli critic # caa : imagin deepli discriminatori law call anti-muslim . # notocaa_nrc_npr,negative
2020-02-29 23:53:44+00:00,Dipak_Journo,"ca n't protect # minor back home , pass law safeti minor countri bit rich come # caa # caa_nrc_npr",positive
2020-02-29 22:17:17+00:00,immak2020,"recent variou incid taken place india frm # beef ban # caa/ # nrc . question respons ? ultim motiv ? answer short , 1.wrong peopl occupi authorit posit ( 1/2 ) # india # delhiriot # violenc # rape",negative
2020-02-29 20:55:16+00:00,the_logicaldude,"wonder sachin tendulkar , ms dhoni , virat kohli spoke bjp caa/nrc . bhakt call anti nation well ❓ . . # sachintendulkar # msdhoni # viratkohli # caa # indiaagainstcaa # rejectcaa_nrc_npr # delhirain # delhiriot # delhiviol # india",positive
2020-02-29 20:37:38+00:00,thalaivarTN,inch toward 24 year dream . stay calm guy ! ! # rajiniwithindianmuslim # caa # caa_nrc_protest # rajiniengalthalaivar,negative
2020-02-29 19:18:06+00:00,11abhisek,"@ shekhargupta # nationalinterest put # caa # nrc riot blame suprem court judgement . 's like say kabirb dohe court intent `` boy ped babul ka , amm kaha se paay '' .. # kabirdoh",neutral
2020-02-29 18:30:20+00:00,iamcrsk,serious # socialthinnai video # caa # npr # nrc seiveergala ? # askprashanth,positive
2020-02-29 17:33:26+00:00,UrbanShrink,"8day indoor strictli meet ppl therapi , met 3 ppl/friend today . glad 3 acknowledg read tweet , start read abt # caa nrc . guess that small , signific win .",negative
2020-02-29 17:18:24+00:00,troll_chowkidar,"# banthebook trend nation . sanghi , bhakt rw lunat seem use hashtag , think book mean constitut . # bjp # delhiviol # caa # nrc",negative
2020-02-29 16:56:42+00:00,RaghavRpn090,indian : - could understand traffic rule 72 year ; - could understand fill gst form 3 year ; - understood # caa matter minut ; - understood # nrc even discuss . incred indian !,negative
2020-02-29 16:24:34+00:00,sri8787,indian : could understand traffic rule 72 yr ; - could understand gst form sinc 3 yr ; : - understood # caa matter minut ; - understood # nrc even discuss incred indian ! # antihindudelhiriots2020 # delhiviol # delhiriot2020,negative
2020-02-29 16:21:04+00:00,vignesh_vv05,"hindu long muslim countri . gone , hindu anymor . brahmin , kshatriya , vaishya , shudra , dalit untouch # caa # nrc # protest",negative
2020-02-29 16:10:51+00:00,Jiinendra,indian : - could understand traffic rule 72 year ; - could understand fill gst form 3 year ; - understood # caa matter minut ; - understood # nrc even discuss . incred indian . 🐒,negative
2020-02-29 15:39:24+00:00,jash8055,# delhipoliceqaatilhai indian : - could understand traffic rule 72 year ; - could understand fill gst form 3 year ; - understood # caa matter minut ; - understood # nrc even discuss . incred indian ! # delhiviol,negative
2020-02-29 15:18:41+00:00,Shaheumam15,aligarh moradabad bye pass road protest # caa # npr # nrc romov polic,negative
2020-02-29 14:59:36+00:00,Murugan_Kootam,indian : - could understand traffic rule 72 year ; - could understand fill gst form 3 year ; - understood # caa matter minut ; - understood # nrc even discuss . incred indian . 🐒,negative
2020-02-29 14:11:04+00:00,BidishaDasDC,"’ anyon ever mention hindu sri lanka everi nation pakistan , afghanistan bangladesh also purview caa2019 ? voic ? # caa # caa_nrc_protest # caaprotest # india",positive
2020-02-29 14:08:21+00:00,smfarhad,# shwetasingh @ aajtak said # caa taken citizenship anyon taken live 42 person . question news channel misguid peopl know well caa nrc interlink . govt want take citizenship nrc discrimin caa,negative
