Date,User,Tweet,sentiment
2023-04-14 23:44:49+00:00,cfc_zachary,predict chelsea vs brighton tommorrow : 3 ' havertz 1-0 17 ' havertz 2-0 21 ' felix 3-0 48 ' havertz ( hattrick ! ) 4-0 62 ' mitoma ( pen ) 4-1 83 ' sterl 5-1 realli confid chelsea better loss real madrid . 📷 # chelsea,positive
2023-04-14 23:40:33+00:00,yuanyuri60,2x chelsea vs brighton ticket avail dm ’ interest # chelsea # chelseafc # chelseaticket,neutral
2023-04-14 23:40:32+00:00,MarthaAlfie,"got 3 ticket ( arsen vs chelsea ) 2nd may , send direct messag want . # premierleagu # arsen # england # chelsea # afc # ticketmast # arsch",neutral
2023-04-14 23:31:16+00:00,blueboyDD1,# chelsea pay joao felix 's £88million transfer fee anoth loan spell stamford bridg next season ca n't rule . ( @ mailsport ),negative
2023-04-14 22:55:20+00:00,jeccabee,chelsea look kwame 's eye say `` love '' seem like 's say reflect eye . # loveisblind # loveisblind4 # loveisblinds4 # kwame # chelsea # chelseaandkwam # kwameandchelsea,positive
2023-04-14 22:48:31+00:00,J_onathon,"love ( so-cal ) know-noth ‘ fan ’ talk possibl return # philjon , clown actual seen play game ! go support # chelsea # citeh ’ love , ’ mark !",positive
2023-04-14 22:48:23+00:00,TheOgidiBrown,"frank lampard deal larg # chelsea squad : '' problem , say problem probabl right word find solut everyth make everyth work . 'm go harp . '' [ via @ scott_trott @ absolutechelsea ]",negative
2023-04-14 22:45:09+00:00,Ibramem0,# chelsea pay joao felix 's £88million transfer fee anoth loan spell stamford bridg next season ca n't rule . ( @ mailsport ),negative
2023-04-14 22:43:34+00:00,TheOgidiBrown,"frank lampard : '' rememb # chelsea roman abramovich came peopl panick much excit within club . , 'will keep job ? get team ? bring ? ' '' [ via @ scott_trott @ absolutechelsea ]",positive
2023-04-14 22:41:28+00:00,Blessed50190633,"player need sold # chelsea mendi , mount , gallagh , chalobah , loftu cheek , kovac , pulis , sterl , havert , odoi , lukaku , ziyech , cucurella , massiv clearout make fresh sign bring back mattseen colwil @ todd_boehli # cfc # chelseanew",positive
2023-04-14 22:36:17+00:00,yomi_mabayoje,# chelsea pay joao felix 's £88million transfer fee anoth loan spell stamford bridg next season ca n't rule . ( @ mailsport ),negative
2023-04-14 22:35:03+00:00,yomi_mabayoje,"`` # chelsea realli valu frank lampard footbal person , listen . could definit posit effect outcom mason mount . '' ( @ siphillipssport via @ givemesport )",positive
2023-04-14 22:34:40+00:00,IrediaSupreme,julian nagelsmann particularli believ influenti support among # chelsea hierarchi . [ @ adrianjkajumba ],negative
2023-04-14 22:33:00+00:00,essayduewriters,"get top-notch grade profession essay assign write servic . qualiti work , time deliveri , afford rate guarante ! hmu # trend # ucl # essay代写 # essay @ writeriblak # assignmentdu # homeworkslav # homework # chelsea # cfc # univers # gpa",negative
2023-04-14 22:31:00+00:00,Chels_HQ,"`` # chelsea realli valu frank lampard footbal person , listen . could definit posit effect outcom mason mount . '' ( @ siphillipssport via @ givemesport )",positive
2023-04-14 22:28:32+00:00,AbsoluteChelsea,julian nagelsmann particular believ influenti support among # chelsea hierarchi . [ via @ adrianjkajumba ],negative
2023-04-14 22:16:30+00:00,Chels_HQ,# chelsea pay joao felix 's £88million transfer fee anoth loan spell stamford bridg next season ca n't rule . ( @ mailsport ),negative
2023-04-14 22:15:53+00:00,Liamsmith260493,"anyon know anyon 2 chelsea ticket brentford game wednesday 26th april ? ’ 30th realli wan na get hold ticket , feel free retweet , cheer ! # cfc # chelsea",negative
2023-04-14 22:04:27+00:00,da_properchels,# chelsea pleas even 's one win close season abeg 🙏,negative
2023-04-14 22:02:34+00:00,MicRonny003,hey guy sell ticket chelsea real madrid 18th ’ make anymor caus netherland famili anyon realli interest send dm # chelsea # realmadrid # uefachampionsleagu ..,negative
2023-04-14 22:02:03+00:00,Tickets1435,chelsea v brighton & amp ; hove albion avail east upper adult singl east upper u20 singl stamford bridg # chelsea # cfc # chelseabrighton # chelseafc # premierleagu,positive
2023-04-14 21:55:08+00:00,kinglampard4,"peopl slam # lampard two week shown intellig , leadership saw 9 month potter . would give right arm lead us next year # cfc # chelsea",positive
2023-04-14 21:47:15+00:00,SocialNewbie1,real ugli mess face one said ye # chelsea actual moon ? truli : # loveisblind,positive
2023-04-14 21:39:57+00:00,AbsoluteChelsea,"frank lampard deal larg # chelsea squad : '' problem , say problem probabl right word find solut everyth make everyth work . 'm go harp . '' [ via @ scott_trott ]",negative
2023-04-14 21:32:10+00:00,atiapunyadia,2x ticket chelsea vs brighton game tomorrow # cfc # chelsea # chelseaspar # chelseaticket # chelseafc # chebri,positive
2023-04-14 21:08:44+00:00,MennahAlaa3,guarante night rememb ! got quads/trio/pair chelsea vs real madrid ticket avail . experi best event . cheer # chelsea # realmadrid # uefa,positive
2023-04-14 21:03:30+00:00,fatimaarod,sell 2 ticket chelsea vs brighton game tomorrow # cfc # chelsea # chelseaspar # chelseaticket # chelseafc,positive
2023-04-14 21:00:24+00:00,CFCLampardEra,"colwil 2 year left # chelsea contract boehli made clear want player run deal . boehli prepar sell player ensur happen , colwil ’ futur could hang whether agre renew . ( standard )",positive
2023-04-14 20:40:31+00:00,Dillzkurdo,one want gonçalo ramo chelsea ? # chelsea,positive
2023-04-14 20:19:56+00:00,scentm,"take good bad . alway given . cl win , pl titl , walk championship like ’ train exercis . win huge favourit . bad - great time follow fan chelsea norwich , yeah ? ? # cfc # che # chelsea # ncfc # norwich",negative
2023-04-14 20:19:24+00:00,WM_Tips_,"premier leagu 🏴󠁧󠁢󠁥󠁮󠁧󠁿 chelsea x brighton mac allist mai de 0.5 chute ao gol ; bet365 odd : 1.57 1,5 % # bet # aposta # trader # bet365 # chelsea # brighton # premierleagu",neutral
2023-04-14 20:13:31+00:00,TicketHQ_,chelsea vs brighton load singl avail tomorrow dm info ! # chelsea # cfc # chelseabrighton # chelseaspar # cfcticket,neutral
2023-04-14 20:11:36+00:00,mejja_mwangi,joao felix post two shot target four last seven start chelsea . # chebha # cfc # chelsea,negative
2023-04-14 20:01:19+00:00,CFC_Gab,"next manag enriqu , debat . nagelsmann younger potter . amorim good ’ handl dress room + releas claus . young imo gallardo younger bielsa . poch….pref speak . # cfc # chelsea",positive
