Date,User,Tweet,sentiment
2023-04-17 19:05:39+00:00,haidarpur,internet servic resum prayagraj two day atiqueahm prayagraj crime,negative
2023-04-17 19:04:20+00:00,PreethamTekuma2,realli pain see glorif murder public place amongst polic especi attach string bigger pictur religion divid nation furthermor inclus peac love way make stronger nation atiqueahm,positive
2023-04-17 19:00:11+00:00,Shivamsmakkar,leav rcb fan base call dharm parivartan cskvrcb ipl atiqueahm,negative
2023-04-17 18:53:25+00:00,ramaadhirSingh,peopl say law order kill law order kill judg afraid hear case beat professor univers law order asad atiqu kill atiqueahm,negative
2023-04-17 18:51:49+00:00,Yeimama3,team brezz team bum bum aespa myworld blackpink atiqueahm loveisblind salonedelmobil salonetwitt salon,neutral
2023-04-17 18:50:32+00:00,BPSingh72971625,atiqueahm public angri doubl face polici opposit atiq mafia scandal effect cost opposit dearli elect,neutral
2023-04-17 18:50:13+00:00,FarhanK83060097,uppolic atiqueahm yogiadityanath yeh aye din murder encount mai ho rha h jais desh mai law order justic judiciari hai hi nahi govern polic need answer,positive
2023-04-17 18:50:12+00:00,FreemanDunhill,home hous broken autom system lock insid call polic play song max volum alarm song would choos asktwitt atiqueahm,negative
2023-04-17 18:44:19+00:00,FarhanK83060097,uppolic yogiadityanath atiqueahm yeh kya ho raha hai mai law order justic judiciari ka mazak banaya ja rha hai govern polic need answer atiqueahm,negative
2023-04-17 18:31:07+00:00,Sagar4BJP,robinhood new narr sicular atiqueahm,positive
2023-04-17 18:28:01+00:00,VasalAnil,encount atiqueahm fruit karma distini kill murder polic custodi peturb shameful govt govt must find element hatch deep root conspiraci kill ahm,negative
2023-04-17 18:27:17+00:00,AnthonyRealtors,amp bedroom bungalow urgent need around ago palac area open budget loveisblind aespa myworld atiqueahm,neutral
2023-04-17 18:26:07+00:00,aacash_sharma,csk csk csk csk csk chinaswami crowd rcbvscsk cskvsrb atiqueahm loveisblind blackpinkatcoachella,positive
2023-04-17 18:21:35+00:00,Asabari_CC,pervas prolong dark distribut call seriou concern silenc deafen pay use atiqueahm blackpink loveisblind,negative
2023-04-17 18:21:18+00:00,Salsabeel329,bravest heart one stay close allah god even pain jalen mondaymotiv atiqueahm islam god ramadan,negative
2023-04-17 18:19:48+00:00,akmeena1423,whatev happen atiqueahm unconstitut saint peopl object happen total fine victimis atiqahmad muslim also kind crime sight,negative
2023-04-17 18:18:44+00:00,UnwantedNetizen,india henri oswald moment atiqueahmeddead atiqueahm yogiadityanath yogikanayaup,positive
2023-04-17 18:11:06+00:00,JethmalaniM,slightest shred evid conspiraci murder atiqueahm amp brother ashraf involv anyon state govt polic forc yet entir opposit alreadi call murder encount fake narr,negative
2023-04-17 18:06:13+00:00,Salsabeel329,say prophet god one indivis allah sustain need never offspr born none compar god allah starship atiqueahm blackpinkatcoachella,negative
2023-04-17 18:05:30+00:00,Sanketh86,though like yogi chest doubt atiqueahm yogiadityanath,positive
2023-04-17 18:04:27+00:00,BesuraTaansane,intern media amp leli go amp lawmak atiqueahm import question need ask amidst brouhaha gangster becom mla may independ know alway support sp,positive
2023-04-17 18:03:20+00:00,AnthonyRealtors,need bungalow duplex ajao estat open budget starship atiqueahm loveisblind,negative
2023-04-17 18:01:36+00:00,forkin_sanity,advoc approach sc murder atiqueahm ashrafahm go name vishal tiwari amitabh thakur ironi fault within us stone pelter crimin,positive
2023-04-17 17:58:29+00:00,Rafiqu53,atiqueahm atiqahm murder atiq ahm manu manesar burn aliv person car behind jail,positive
2023-04-17 17:58:03+00:00,PrinshuAgarwal,guddu muslim kya kaun polic pleas solv mysteri take suspens anymor phir chahe uski bhi gaadi palta dena par ba batao humein ye raaz jo atiqueahm apn saath hi le gaya uppolic op,negative
