Date,User,Tweet,sentiment
2020-03-08 09:37:49+00:00,IamSmas,bravewomenofshaheenbagh happi women day true inspir nation patriot reject caa cab npr nrc,positive
2020-03-07 12:03:39+00:00,tagifyio,relat instagram tag nrc caa kerala kozhikoden npr justdoit nikeplu nikerun garmin india cab keral,positive
2020-03-05 14:35:53+00:00,DaryaftLongform,india religion higher mortalityr coronavirusu covid hindutva hindu muslim nrc caa cab bjp modi amitshah,positive
2020-03-02 15:16:08+00:00,subhranshuDDK,support nrc caa cab bill support good nation peopl india,positive
2020-02-28 20:40:12+00:00,bagh_ki,govt take back caa right wait caa nrc npr caa cab,negative
2020-02-28 08:20:17+00:00,ayushupadhyay7,month score anti caa protest citizenship lost live lost delhiriottruth delhiviol npr caa cab nrc delhi,positive
2020-02-25 13:30:48+00:00,zupulut,namo either trash cab thrash caa nrc protest,negative
2020-02-24 06:39:46+00:00,YDhanowa,old uncl yell randomli jao fir pakistan peopl yell caa ralli pakistan zindabad uncl jao pakistan fir support caa kinda protest bullshit anticaa caa nrc npr caa cab,negative
2020-02-21 17:35:00+00:00,hornethive,religion requir hate someon need new religion amulyaleonanoronha caa caa nrc protest cab kashmirlockdown humanright,negative
2020-02-20 05:41:27+00:00,tagifyio,relat instagram tag nrc caa cab india jnu keralatour upsc ia ip meme indianmem promot civilservic ww,positive
2020-02-19 06:05:12+00:00,tagifyio,relat instagram tag cab cabsforsal turquois nrc turquoiseterritori jnu india caa cabochon superliga cabachonsuppli,positive
2020-02-12 09:43:57+00:00,NeerajBisht7777,support caa cab nrc npr,negative
2020-02-10 16:36:27+00:00,_OfficiaIbrahim,indian reject everyth affect freedom religion reject nrc nrp npr caa cab,positive
2020-02-10 05:56:46+00:00,sheik_ummar,peopleofindia reject caa nrc cab readi die accept law corpor central govt,negative
2020-02-08 09:54:24+00:00,luckykhan1993,nrc npc caa cab jo chup wo support jo support kar rahe wo desh drohi jo protest ka rahe wo indian,negative
2020-02-08 00:58:43+00:00,madykris,huge silent support n vote bjp bjp jeet rahii hai delhi assembl elect delhielect bjp aap congress caa nocaa nrc delhielect delhi elect nrc caa cab nrc caa cab nrc,positive
2020-02-08 00:44:22+00:00,madykris,bjp win new delhi assembl elect delhielect bjp aap congress caa nocaa nrc delhielect delhi elect nrc caa cab nrc caa cab nrc,positive
2020-02-05 02:03:47+00:00,CrazySatire,saheen bagh open eye indian think caus big victori seat modi caa cab caa nrc npr caaprotest indiasupportcaa indiasupportscaa caa nrc protest delhi delhielect delhi delhiwithbjp,positive
2020-02-02 17:45:37+00:00,sidpraz,shaheenbaghprotest enter th day caa nrc npr leader tri get polit gain shame see happen pass cab,negative
2020-02-02 12:39:10+00:00,BaraunaviMishra,saw live debat show onindia tv issu caa nrc npr particip repres shaheenbagh muslim scholar mol ravi shankar pd repli question ask particip conclus muslim major cab,neutral
2020-02-01 05:49:50+00:00,Chauhanchetan82,pari count number dog resid citi indian allow govern even count number citizen caa nrc cab,negative
2020-01-30 06:40:50+00:00,KalakakshH,order support cab even consid ban travel cab kunalkamara caa nrc protest,negative
2020-01-29 13:20:44+00:00,Salim63536528,port sim card costum jio quit resend caa npr nrc support caa cab bill,neutral
2020-01-29 11:03:58+00:00,HIMESH_SS,cab caa nrc look inhuman treatment meet hindu bd may good idea swap illeg bd muslim live india religi minor live bd bd net beneficiari amp may oppos,positive
2020-01-29 05:34:40+00:00,SarangPMahajan1,band band band bharat band still medic store chalu pharmaci caa nrc cab,negative
2020-01-28 14:22:19+00:00,tagifyio,relat instagram tag caa nrc india npr hindu muslim shashitharoor jinnah shaheenbagh citizenshipamendmentbil cab jnu,positive
