Date,User,Tweet,sentiment
2020-10-09 23:24:09+00:00,Blee1bee,ziyech contribut nd goal morocco assist rd free kick chelsea hz premierleagu,negative
2020-10-09 21:48:38+00:00,ChelsLee86,ziyech better start southampton otherwis meltdown real chelsea ktbffh,positive
2020-10-09 20:25:26+00:00,vendettaalex254,hakim ziyech absolut night great show assist cfc chelsea,positive
2020-10-09 19:50:13+00:00,AymaneCFC,ziyech cross morocco chelsea,positive
2020-10-09 19:50:09+00:00,Ziyech123,pin point assist hakim ziyech find striker el arabi ziyech chelsea morocco,positive
2020-10-09 19:23:27+00:00,Ziyech123,ziyech come morocco th minut hold breath chelsea fan ziyech chelsea,negative
2020-10-09 18:39:23+00:00,Ziyech123,realli hope ziyech play tonight morocco pitch aw injuri wait happen ziyech chelsea,positive
2020-10-09 18:34:42+00:00,ChelseafcMOTM,good friday night peopl would kind give rt anyon see account first time give follow cfc ktbffh chelsea fridayfollow utc,positive
2020-10-09 16:39:03+00:00,DarkAddictions,openrol volturi aro sulpicia caiu athenodora jane alec demetri afton chelsea twilight darkaddict dm join everyon addict join,positive
2020-10-09 16:38:00+00:00,MassDOT,remind rt sb close carter st ramp everett ave ramp work tobinbridg chelsea viaduct project begin p tonight reopen saturday,positive
2020-10-09 14:03:14+00:00,TheBlueLioness,pl stream servic like netflix per month could watch everi game special documentari tactic show transfer show etc would right behind cfc chelsea,positive
2020-10-09 14:00:49+00:00,TheBlueLioness,aw decis pl absolut rip price one game cfc chelsea,positive
2020-10-09 13:59:17+00:00,adansi_bonna,done deal victor mose spartakmoskva chelsea year contract medic alreadi schedul tomorrow sign contract russian club transfer cfc,positive
2020-10-09 13:41:00+00:00,SirRomeo1_,victor mose set leav chelsea join spartak moscow loan transfer window still open russia victor want play inter turn option bring back spartak cfc chelsea romeoafran romeosport transfer herewego,positive
2020-10-09 13:19:49+00:00,JayEsievoNet,former nigeria intern victor mose verg leav chelsea join spartak moscow loan transfer window still open russia deal come inter pass chanc bring back player want play cfc chelsea spartak,positive
2020-10-09 12:59:42+00:00,dhiqrullah007,rt victor mose set leav chelsea join spartak moscow loan transfer window still open russia victor want play inter turn option bring back spartak cfc chelsea,positive
2020-10-09 12:59:15+00:00,OreoluwaAyeni2,dear nigeria one highest number chelsea fan major youth howev youth support harass brutal amp kill fan kill come aid let world know go endsar,negative
2020-10-09 12:10:38+00:00,Ja_Magoya,via victor mose set leav chelsea join spartak moscow loan transfer window still open russia victor want play inter turn option bring back spartak cfc chelsea,positive
2020-10-09 12:10:13+00:00,QwameInsyde2,victor mose set leav chelsea join spartak moscow loan transfer window still open russia victor want play inter turn option bring back spartak cfc chelsea,positive
2020-10-09 12:07:36+00:00,GeraldIfey,victor mose set leav chelsea join spartak moscow loan transfer window still open russia victor want play inter turn option bring back spartak cfc chelsea,positive
2020-10-09 12:07:25+00:00,leoromolireal,victor mose set leav chelsea join spartak moscow loan transfer window still open russia victor want play inter turn option bring back spartak cfc chelsea,positive
2020-10-09 12:07:07+00:00,FabrizioRomano,victor mose set leav chelsea join spartak moscow loan transfer window still open russia victor want play inter turn option bring back spartak cfc chelsea,positive
2020-10-09 12:00:55+00:00,NanaOwusuGh1,done deal victor mose spartakmoskva chelsea year contract medic alreadi schedul tomorrow sign contract russian club transfer cfc,positive
2020-10-09 12:00:22+00:00,NicoSchira,done deal victor mose spartakmoskva chelsea year contract medic alreadi schedul tomorrow sign contract russian club transfer cfc,positive
2020-10-09 08:12:03+00:00,324972,break news chelsea edouard mendi injur seneg duti,negative
2020-10-09 07:26:10+00:00,ChelseaDEALNEWS,transfer chelsea messi close join chelsea realli want play mourinho long video chat di marzio front messi gerrard drogba essien lampard robben might eh rest histori,positive
2020-10-09 05:44:13+00:00,OriDharmi,baili injuri next block mendi epl injuri manutd chelsea,negative
2020-10-09 05:33:09+00:00,Monsieur_AK31,mendi injur hate intern break chelsea,negative
2020-10-09 01:52:49+00:00,VyshinBrvh,back chelsea best team england nd de greatest mc africa pl remind,positive
2020-10-08 22:39:14+00:00,WilsonObasa,edouard mendi return chelsea suffer thigh injuri intern duti seneg,positive
2020-10-08 22:20:06+00:00,ese4d,mendi injur chelsea offend,negative
2020-10-08 22:18:46+00:00,AliMaaneHassan2,love chelsea,positive
2020-10-08 21:18:45+00:00,TheBlueLioness,realli hope mendi badli injur cfc chelsea,negative
2020-10-08 21:00:51+00:00,ChelseafcMOTM,best chelsea player pitch tonight engwal game cfc chelseafcmotm ktbffh wagnh chelsea mount jame ampadu,positive
2020-10-08 21:00:13+00:00,CFCFan010,reec jame exactli man unit fan think wan bissaka reec chelsea cfc,negative
2020-10-08 20:52:19+00:00,CFCFan010,good game reec jame mason mount also michi batshuayi goal ampadu also bad dm chelsea engwal england,positive
2020-10-08 20:16:36+00:00,ChelseaChadder,reec jame make england debut chelsea,negative
2020-10-08 19:58:55+00:00,vendettaalex254,batshuayi one belgium batshuayi chelsea crystalpalac cfc,positive
2020-10-08 19:58:28+00:00,cfc_philly,michi batshuayi stop score chelsea crystalpalac belciv,positive
2020-10-08 18:51:36+00:00,seapix,good luck chelsea legend steve clark,positive
2020-10-08 18:29:57+00:00,ShubhamPainaik,girl talk audac ask special one mean bitch jose mourinho josemourinho specialon chelsea chelseafc chelseaindia cfc cisc cfcfan,negative
2020-10-08 18:13:19+00:00,nyebatsss,espnfc leav chelsea fc alon ur neg comment kai havertz punch bag fan see,negative
2020-10-08 18:05:24+00:00,ldr_gregory,cllr emma say basement polici could risk w plan white paper think someth resid chelsea concern abt aliv threat mega basement say,negative
2020-10-08 16:43:31+00:00,FPL_3Peat,chelsea fan updat pulis min palac far away pl start nation duti help gain fit mean bench app start fpl chelsea pulis,negative
2020-10-08 16:21:59+00:00,0zBrain0g,break report thousand fan ghana decamp chelsea unit becom fan arsen sign partey stay tune report follow parteytim,negative
2020-10-08 16:21:50+00:00,MaccaSport,icymi ian maatsen ad ucl b squad list chelsea b list goe player train club posit sign maatsen get opportun two year,neutral
2020-10-08 15:22:02+00:00,LieSportsNuws,lambshanko cola chelsea legend claim marin meat popular soft drink send recip next level fakenew footbal cfc chelsea zola,neutral
2020-10-08 14:56:18+00:00,johntat16,question time let tri make one bang sinc ton young player chelseafc youngster want see becom club legend cfc chelsea,positive
2020-10-08 10:25:13+00:00,gbeast9111,found old account chelsea cent run,negative
2020-10-08 08:55:58+00:00,Sp0rting0pini0n,goal intern appear think underr striker giroud chelsea cfc arsen gunner afc,negative
2020-10-08 08:28:31+00:00,vendettaalex254,kai havertz play intern match bad news chelsea havertz cfc chelsea,positive
2020-10-08 07:35:44+00:00,JP_CFCTalk,watch germani highlight last night game turkey havertz weight pass unreal havertz role must chelsea havertz cfc chelsea,positive
2020-10-08 06:46:08+00:00,RyanMon23923620,kai havertz hope get jadon sancho except didnt get havertz chelsea manutd,negative
2020-10-08 02:50:50+00:00,cj7machado,uefa top clube compra chelsea mill manciti mill bar mill juventu mill leedutd mill en ligaportug slbenfica mill uefa moneybal,neutral
2020-10-08 02:15:30+00:00,yusri_yusof,timo werner join germani squad due flu like symptom pend covid test result chelsea uefa pandem euronationscup,neutral
2020-10-08 02:11:57+00:00,Mahmoud15726907,follow chelsea fan pleas,negative
2020-10-07 21:53:15+00:00,Bigheartij,franc today yet martial pogba singl impact even remot assist delud fan want mention sentenc chelsea baller chelsea,negative
2020-10-07 21:21:20+00:00,dk_chelsea,havertz goal assist game club countri player chelsea gertur respect man,positive
2020-10-07 21:00:54+00:00,sgupta86,kepa kept clean sheet spain vs portug alway good see blue well chelsea,positive
2020-10-07 20:12:28+00:00,TheBlueLioness,way fa club dealt non stream continent cup game atroci show real lack care women game support cwfc cfc chelsea,positive
2020-10-07 20:10:43+00:00,DukeOfNandom,assist kai havertz alreadi germani nation team turkey playmak chelsea,neutral
2020-10-07 20:03:35+00:00,CFCTolu,giroud goal havertz assist top perform far cfc chelsea,neutral
2020-10-07 19:47:40+00:00,thecfcway,hakim ziyech pulis yet play togeth prem readi cfc chelsea thechelseaway,positive
2020-10-07 19:35:19+00:00,SensibleChelsea,great assist havertz germani open goal turkey receiv ball posit play draxler score havertz germani chelsea,positive
2020-10-07 19:08:51+00:00,RohanKrishnan16,moment game callum hudson odoi decid go stop play safe chelsea lose possess impetu look time past year huge win us tap zone consist chelsea cho bayern,negative
2020-10-07 18:56:33+00:00,gbamerez,explain children giroud bench warmer chelsea alway bench best striker franc cap captain fff,positive
2020-10-07 18:17:15+00:00,TheBlueLioness,come chelsea aw decis show game anywher cwfc cfc chelsea,positive
2020-10-07 18:12:38+00:00,essikultanen,big mess twitter dont know cri laugh pleas stream next game way easier chelsea,positive
2020-10-07 18:11:30+00:00,_______ali,unit heaviest pl defeat spur octob man citi octob chelsea octob newcastl octob alway octob manunit premierleagu spur manciti chelsea newcastl ipl iplinua championsleagu,negative
2020-10-07 18:10:30+00:00,CFCTolu,kepa havertz kovac start tonight cfc chelsea,positive
2020-10-07 15:00:31+00:00,Mrfreedomsph,still believ want emerson get tell chelsea good enough transfer window get manunit manutd,negative
2020-10-07 13:51:43+00:00,talk_tactic,plan b problem alex tell deal sign emerson manchesterunit manutd tell chelsea transfer,negative
2020-10-07 12:35:06+00:00,arixhagi,chelsea hi guy intern break better focu someth els differ top good look chelsea player let take poll must giroud,positive
2020-10-07 12:34:10+00:00,non_opinion,timo werner next fernando torr chelsea,positive
2020-10-07 12:29:10+00:00,_aniketkakade_,know bank chelsea definetli give loan chelsea,negative
2020-10-07 11:59:35+00:00,BhattadChirag,best tw premierleagu everton rodriguez allan doucour olsen nkounku chelsea werner havertz mendi chilwel silva sarr astonvilla barkley traor watkin cash martinez spur reguillon doherti bale hojbjerg hart carlo viniciu,negative
2020-10-07 10:23:02+00:00,WeAllLiveInAPGW,chelsea fan got real bee bonnet partey sign actual thought go sign seen mani anti arsen tweet lot week get wors sp rs,negative
2020-10-07 07:27:16+00:00,gbamerez,next team play chelsea beaten like drum rock music,positive
2020-10-07 07:08:58+00:00,PaulCanonHarris,unimpress hakim ziyech fit enough go away morocco yet suffici fit make bench chelsea chelsea ziyech carpentryskil,positive
2020-10-07 04:00:05+00:00,zea_chel,wan na see start cfc mendi azpi silva zouma jame kant havertz chilwel ziyech werner pulis would bring best werner jame chilwel silva havertz chelsea premierleagu tactic best ktbffh,positive
2020-10-07 01:27:29+00:00,CfcGio,think us keep callum realli import decis doubt mind massiv player us futur chelsea,positive
2020-10-07 00:52:29+00:00,bluewrestlehero,good decis chelsea chelseafc cfc transferdeadlineday,positive
2020-10-06 22:53:12+00:00,bluewrestlehero,oh wow rahman still chelsea guy chelsea cfc londonisblu transferdeadlineday,negative
2020-10-06 22:30:56+00:00,Robshaw1981,predict premierleagu hope help liverpool citi chelsea tottenham,positive
2020-10-06 21:55:58+00:00,Vict0rEd,winner loser summer transferwindow manunit manciti chelsea arsen,positive
