Date,User,Tweet,sentiment
2023-03-09 11:31:44+00:00,floydy3663,know tottenham work sack cont end hire grahampott chelsea sack,negative
2023-03-08 19:12:59+00:00,MetriUnited,see happen actual get behind team support instead toxic fan demand instant success rome built day chel chelseafc cfc premierleagu championleagu grahampott chelsea havertz sterl,negative
2023-03-08 17:10:09+00:00,krishanvadher,kai havertz show appreci grahampott chelsea even dortmund deni big manag borussiadortmund witti,positive
2023-03-08 14:08:18+00:00,BillyBrownSongs,chelsea chelseadortmund chelseafc grahampott potterout harsh critic potter ye last night will convert want see big chang next game chang mind happi prove wrong,positive
2023-03-08 14:00:36+00:00,HSBackupssoccer,chelsea turn thing around champion leagu nd leg match bourissa dortmund chelseaborussiadortmund bvb chelsea cfc premierleagu grahampott,negative
2023-03-08 12:53:28+00:00,radical_referee,realli pleas manag grahampott fantast see videoassistantrefere recommend retak first miss penalti nice guy win emotionalintellig,positive
2023-03-08 03:15:52+00:00,coldisx,chelsea forev uefachampionsleagu chelsea grahampott,positive
2023-03-07 22:54:41+00:00,bazcharleton,come graham grahampott come actual support understand knee jerk whing demand everyth,negative
2023-03-07 22:29:41+00:00,richie_kobby,good win chelsea still grahampott,negative
2023-03-07 22:18:03+00:00,TheBigCFC,mom tonight championsleagu chedor chebvb grahampott chelseafc chelseatrain sportsnew januarytransferwindow premierleagu transfernew toddboehli chelseafan thebigcfc,positive
2023-03-07 22:13:57+00:00,Zeadwing,good perform chelsea tonight hope someth build look like player still play potter let see turn around chebvb chelseafc grahampott,positive
2023-03-07 22:12:43+00:00,TommyMR69,brilliant chelsea graham potter game avoid sack got job done get championsleagu chelsea dortmund grahampott,positive
2023-03-07 22:12:29+00:00,_moola__,might turn point grahampott stick atb,positive
2023-03-07 22:11:47+00:00,EmamodeLeo,outstand perform tonight chelsea lad think live expect chebvb grahampott,positive
2023-03-07 22:08:43+00:00,officialhogie,come grahampott brigad,negative
2023-03-07 21:52:31+00:00,Mihir17156798,pulis come mudryk someth wrong potter guy chelsea chelseadortmund grahampott mudryk pulis,negative
