Date,User,Tweet,sentiment
2023-04-16 07:29:36+00:00,Atif10911,slave girl fujariah fujairah fun housewif women girl,positive
2023-04-13 00:21:19+00:00,Zahraliebt,spent time read giant histori rise fall western civil year old cuddl blanki bench seat sunshin housewif momlif,neutral
2023-04-12 05:21:38+00:00,Mary88867810,need hous next month someon adopt housewif homeless,positive
2023-04-11 18:46:04+00:00,allisonnamaya_,mid day tini go home clean housewif,positive
2023-04-11 12:51:53+00:00,tayazil,practic wash whole closet housewif,negative
2023-04-10 17:37:34+00:00,omomotomomospo,gon na go walk bc spent day kitchen housewif,negative
2023-04-05 20:47:19+00:00,tayazil,wash spoon housewif,positive
2023-04-05 20:42:00+00:00,theresbbygrl,housewif rule alway rememb dinner readi eat done help tip fix extra lunch snack wait main cours,positive
2023-04-04 21:27:25+00:00,MammaJ1983,everyon bitch trump never seen happen housewif decid go realiti show think scandal never come light trump thought untouch like trumparraign,negative
2023-04-04 12:57:36+00:00,tax_scan,addit housewif deposit rs demonet period cbdt circular itat read order addit housewif deposit demonet demonetizationperiod cbdt cbdtcircular itat taxscan taxnew read,positive
2023-04-03 09:47:49+00:00,caviar_diva,vaniti mom claimtofam use look far would take want clone st child w daddi amp girl like everi day told hate housewif never want kid sacrif part,negative
2023-04-02 02:27:39+00:00,MrsKinz2023,today love relationship marri housewif shop heel,positive
2023-03-30 02:48:51+00:00,CodyTuhigh,let turn hoe hous wife housewif hoe,negative
2023-03-28 11:28:20+00:00,thedanielleJH,clarifi knooow finna thing gold digger love housewif super ambiti long way go busi whopay housewif agegap,positive
2023-03-27 18:15:21+00:00,whtlvthn,iso vintag housewif sissi boy maid p make dinner rub feet worship servic servicesub footworship,positive
2023-03-24 11:40:48+00:00,rahulswamy995,content writer need websit pay partim contact pakistanbankrupt bangladeshi parttimejob workfromhomejob onlinejob blogger housewif survivor,positive
2023-03-23 11:52:44+00:00,katemillercny,hot cuppa coffe mountain laundri week worth stori catch appear thursday plan laid homemak housewif happywifehappylif,negative
2023-03-23 06:53:30+00:00,MzFortunate,new season invis citi netflix anoth bing lol game bing watch tv gamergirl girlgam smallstream netflix bing tvtime tvseri invisiblec homebodi stayathomewif sahm housewif mylif,negative
2023-03-23 06:47:22+00:00,Parvind22531511,say unemploy everi youth citizen housewif kid labour got well equip digitalindia spend money recharg pay bill benefit amp go servic provid directli indirectli peopl social media noth,negative
2023-03-22 17:20:30+00:00,BakraofDv,mother housewif cook delici food manag hous never compar maid result plot bank balanc trip gold best class medic care trip etc feministwif never anyth still compar maid rr result mentoo,positive
2023-03-22 14:25:54+00:00,ADW3CLT,loveisland liv liter messiest irrelev cast member ever seen friend housewif die stori line,positive
2023-03-20 09:14:03+00:00,BeliebeerForev2,anyon need earn littl commiss get place order european american countri interest trust privat part time housewif extra incom,positive
2023-03-20 03:50:01+00:00,LynnAuburn315,need honest custom parttimework student housewif extraincom,neutral
2023-03-20 01:57:28+00:00,CharltonWiggins,see cbss taglin promot women month addit mani wonder job women achiev let forget import one homemak tradwif housewif homemak,positive
2023-03-18 16:12:37+00:00,ZillyB2,make trend conserv housew across america beyond tradwif housewif,positive
2023-03-18 01:36:59+00:00,massagesbyhand,housewif deserv confid god fear childbear woman know worth know love know christ king king,positive
2023-03-17 02:36:32+00:00,therealj_byrd,think would favorit housewif alway doubl tri make appl orang yea may retali go far bottom line apolog laugh come back next season heat,negative
2023-03-16 19:14:36+00:00,RakhiTy86777856,get gone rest probabl hour salari appreci hous wife respons women housewif,positive
2023-03-16 16:36:46+00:00,tohfakaboolhai,mani love ladi trigger sonali accept nice emot stabl avail househusband genuin sonalikulkarni sonali housewif,positive
2023-03-15 15:34:37+00:00,loveluxuryuk,husband offer make happi husbandwif marriedgo housewif familylif billionair billionairewif loveluxuri knightsbridg marriedlif,positive
2023-03-14 17:36:44+00:00,Bray_Baby,husband hate lowkey give stay home housewif sure,negative
2023-03-13 22:42:26+00:00,foxnbie,bake homemad browni yesterday sister said theyr realli chocolatey think theyr better box mix housewif,negative
2023-03-13 07:31:06+00:00,hunniedews,made delici ham chees sandwich housewif,positive
2023-03-12 01:44:10+00:00,Grl_Food,tradit housewif respons cook clean home role one thing mean kind nutcas would develop ident around wash dish want clean dish,positive
2023-03-10 11:34:27+00:00,Tonia37448221,truthbetold viciou come thefamilybuis themspatshow hollywood yall sleep girl housewif damn thang yall better wake teamtami,positive
2023-03-08 10:01:38+00:00,Y0YOo,found last piec furnitur live room look accent sideboard cabinet mi marido lo va comprar homeown homedecor housewif lol,positive
2023-03-07 17:32:02+00:00,toebee555,boat hope meet poor artist boy boat meet iceberg iceberg housewif boat,positive
2023-03-07 16:26:59+00:00,MrsKinz2023,today love relationship marri housewif shop heel,positive
2023-03-06 00:00:53+00:00,MasculinexMind,rule make hoe housewif rule make feminist housewif,negative
2023-03-05 02:51:11+00:00,gregsimsfitness,emanuel theweakestlink serious said housewif everyon know mom one import job,positive
2023-03-03 06:58:53+00:00,PKMANCHERLA,think wife husband hous wife husband social right remot work compar men work spous demean household singl earner thought question bestplacetowork housewif underr,negative
2023-03-02 00:28:12+00:00,CAMERENCROW,way hand knee scrub shower right housewif,positive
2023-03-01 05:15:45+00:00,mnjnths,karnatakagovt indiangovt pensionforeveryon govt introduc pension housewif age unmarri unemploy widow ordinari peopl wrong meter jump bill alway loss make compani everywher unorganis corrupt peopl compani,negative
2023-02-27 18:52:52+00:00,MollysArtMove1,women leader everywher look ceo run fortun compani housewif rais children head household futur built strong women continu break wall defi stereotyp mollysartmov,neutral
2023-02-27 12:54:50+00:00,thacolegewriter,much want work creativ write industri househusband look veeeerrrryyyy nice rn creativ write housewif househusband,negative
2023-02-27 04:02:50+00:00,philconnoisseur,boldglamour push young girl depress feed beauti industri know alreadi beauti princ love without filter husbandandwif famili love housewif usa brazil india europ russia uae,positive
2023-02-23 11:47:14+00:00,Feisty_Snacks,housewif tip ppl europ alway put shot decalc wash never full decalc cycl,positive
2023-02-20 11:42:37+00:00,LawstreetJ,mother wife home true nation builder kerala hc enhanc compens homemak injur road mishap read judgment keralahighcourt housewif motoraccid tribun india lawstreetj read full articl,neutral
2023-02-18 13:08:53+00:00,Ioveauras,got held hostag got told cook rice first time omw housewif,positive
2023-02-18 12:09:22+00:00,nikkolagillham_,honestli love cook amp clean housewif,positive
2023-02-17 01:46:06+00:00,saikisvt,lem go clean housewif motherhood,positive
2023-02-16 21:32:27+00:00,SUPAPRDA,ye save everi singl cook video save cuz see man ask throw housewif ohnothingjustbeingaladi getamanlikemebitch,negative
2023-02-13 04:45:59+00:00,KaynahLassiter,wet toilet seat never okay idgaf clean product bih got ta bone dri petpeev domest housewif,positive
2023-02-12 20:07:09+00:00,Khaotic_Thots,men like want housewif educ like okay pay student loan women go colleg get job hell ask housewif work men colleg,negative
2023-02-12 03:43:28+00:00,Cali_Reign,mommabear housewif,positive
2023-02-11 03:28:27+00:00,DjSilver08,everyon know housewif glorifi prostitut,positive
2023-02-09 22:12:13+00:00,Fab_Ke_,abl parent kill housewif pleas,negative
2023-02-08 13:50:20+00:00,theeweedwitch,anyon els day chore need done around hous overwhelm everi singl room wreck idk even begin walk around vape puf away tri figur housewif sahm stonerfam clean,negative
2023-02-08 12:21:18+00:00,_____lian_____,boyfriend work imma km housewif imcrazi,negative
2023-02-07 17:12:06+00:00,kay_ona,bethennyfrankel prep privatejet help need turkeyearthquak via bstrong foundat got ta love housewif help,positive
2023-02-07 00:03:40+00:00,veronicapearll,make dinner drink glass wine housewif feel silli,positive
2023-02-04 17:25:16+00:00,mittonya_,also robinfierc give housewif potomac vibe one call dutchess karenhug rpdr rupaulsdragrac rupaulsdragrac,negative
2023-02-04 16:46:07+00:00,ShaAbdulla,rice readi puto ongo marin beef tapa readi wooo housewif,positive
2023-02-03 18:04:07+00:00,tayahsinterlude,wait pack futur husband lunch cute littl note housewif,positive
2023-02-03 14:35:20+00:00,nwd1028,housewif franchis number one top dog made franchis nj teresa ny bethenni bh lisa rinna atl nene slc jen shah ladi would make star dramat rhugt ever would pay top dollar,positive
2023-01-31 18:52:30+00:00,n1sao_,clean whole flat two loav banana bread oven housewif,negative
2023-01-31 15:56:57+00:00,snarky_mouse,go live soon est keep occupi least favorit chore fold laundri play chat game gamermom twitchgirl housewif laundryday,positive
2023-01-26 23:01:41+00:00,ChildFreeChick,experi time hurt tuesday dishwash full clean dish dirti dish pile husband clean kitchen go say leav tomorrow day know say anymor slave housewif marriag,negative
2023-01-26 06:57:28+00:00,mzkeena22,damn tho believ love want trash talk u ppl busi tv amp amp never date night pda noth rhop rhoprecap housewif,negative
2023-01-25 21:54:39+00:00,angelibezi,gon na go laundri housewif,negative
2023-01-24 05:46:39+00:00,theGranof4,well real housewif call day tomorrow differ order lol housewif wife momma grandmoth night,positive
2023-01-22 16:15:18+00:00,yoshifangirl,im clean fish tank water chang traditionalvalu homestead stayathomemom housewif,negative
2023-01-22 01:41:14+00:00,help_me_im_sexy,bring dinner gf play sim housewif,positive
2023-01-21 23:44:52+00:00,SubmissiveGoth4,meal food cook necessarili look aesthet good receiv approv comment tast spous peopl ate food housewif tradwif household cook food meal delici,positive
