Date,User,Tweet,sentiment
2023-04-14 21:55:08+00:00,kinglampard4,peopl slam lampard two week shown intellig leadership saw month potter would give right arm lead us next year cfc chelsea,positive
2023-04-14 17:18:59+00:00,BlueKyp,lampard chelsea team select tomorrow interest,positive
2023-04-14 16:59:18+00:00,aminebenbrahim3,pundit jonathan wilson critic frank lampard appoint chelsea savior question todd boehli decis make wilson even suggest jame corden lampard friend director footbal day chelsea lampard boehli,neutral
2023-04-14 14:58:00+00:00,nozzle_mr,prayer point oh lord bless give wisdom gave hakimi amen hakimi chelsea lampard colwel,negative
2023-04-14 13:36:55+00:00,Neoprimesports,lui enriqu would want chelsea consid atletico madrid jan oblak land head coach job thought chelseafc footbal premierleagu uefachampionsleagu footbal lampard chelseafc franklampard kepaarrizabalaga edouardmendi,neutral
2023-04-14 10:20:40+00:00,ManagerMyths,chelsea built second home dress room stamford bridg accommod entir strong squad lad like hip hop r amp b one room like rock pop anoth explain frank lampard managermyth chelseafc lampard,positive
2023-04-13 08:39:43+00:00,YourFPLStation,shit previou manag bad said player ucl noth manag yesterday lampard,negative
2023-04-13 07:02:54+00:00,WaftySwan,rmach ft rm player hv bn play long sooooo congruent amp chemistri awesom connect telepath chelseafc conglomer quit opposit despit one better perform lampard,positive
2023-04-13 03:54:58+00:00,ggmarquez,disjoint perform v opportunist attack third place lampard much though take chilwel straight red best ancelotti ball control rmach championsleagu,positive
2023-04-13 03:03:19+00:00,conway6330,schole v lampard debat worth gerrard compar either worst fact schole trophi lampard goal gerrard leadership lol worst even close gerrard lampard schole,negative
2023-04-12 22:09:40+00:00,juniorjones179,frank lampard hit bottl chelsea lampard,neutral
2023-04-12 22:02:33+00:00,goodlukgoody,disrespect wish frank lampard ill luck continu worsen result might win singl game till end season rmdche lampard championsleagu chelseafc chelsea,negative
2023-04-12 22:00:28+00:00,tasoslazaridiss,garbag came back chelsea last time left tuchel champion leagu seem want destroy everyth lampard chelsea,negative
2023-04-12 21:49:15+00:00,bhagwanparticle,season done chelsea great player haul poor manag tactician board good coach wonder team seem like player given well bad workplac demotiv best worker chelsea ucl realmadrid lampard,positive
2023-04-12 21:41:06+00:00,AnthonyOkwuegb4,way chelsea go soon discov oil viniciu mbapp lampard oshimen joebiden,positive
2023-04-12 21:30:07+00:00,Johnnyhanson648,sack potter chelseafc lampard,positive
2023-04-12 21:21:29+00:00,Chinwendu47,time see chelsea score goal train ground fellow flop also stop goal final tire chelsea make anoth person properti give high bp enzo lampard felix kepa,positive
2023-04-12 21:19:08+00:00,Tobanson22,chelsea problem know lampard want prove accept caretak role devast watch chelsea match,negative
2023-04-12 21:03:51+00:00,Bartrick_ian,lampard done pretti good job screw koulib chilwel made right substitut also give kant silva full without risk injuri lampard cfc chelseafc,positive
2023-04-12 21:03:19+00:00,bobibrainz,care taker lampard amp owner boehli mud realmadridchelsea,positive
2023-04-12 20:54:00+00:00,PeterPontif,todd boehli new peter risdal lampard chelsea championsleagu toddboehli,positive
2023-04-12 20:53:32+00:00,Spooort1_,spooort chelsea lampard bad problem realmadrid readi tactic mental physic chelsea capabl score goal least chilwel behavior made difficult che rmach,positive
2023-04-12 20:52:37+00:00,Prinz_Cee,kanu pillar host footbal match creat histori lampard chelsea kepa realmadrid,neutral
2023-04-12 20:48:47+00:00,fb_and_others,rest season lampard cfc remain match championsleagu amp epl would well chelseafc score least goal end,negative
