Date,User,Tweet,sentiment
2023-04-17 18:08:01+00:00,rahul148_,narendra modi outsid india come buddha land narendra modi india jay shree ram jaibhim jaishriram narendramodi,positive
2023-04-17 16:31:28+00:00,ImdesiHypocrite,hypocrisi aap arvindkejriw obsess narendramodi degre amp call anpadh pm forgotten start journey maneuv polit support anna hazar th pass rt,negative
2023-04-17 15:24:18+00:00,mrshigwan03,narendramodi eknathshind modijiy said water hous hous everi villag road villag tural taluka sangameshwar district ratnagiri pin code today water come day ask wadi road,negative
2023-04-17 15:07:25+00:00,IamRakesh4BJP,polit parti win karnataka assembl gener elect karnatakaelect narendramodi bsyediyurappa bjp karnataka bjpyebharavas doubleenginesarkara congress karnataka congress rahulgandhi,positive
2023-04-17 13:53:00+00:00,JatinGosalia3,al opposit decid one point strategi attack narendramodi tri damag imag creat narrativ adani democraci work wil b great boomrang opposit loss elect forgon conclus,positive
2023-04-17 13:41:09+00:00,jankibaat1,break prime minist narendra modi inaugur global buddhist summit held delhi april narendramodi,negative
2023-04-17 13:16:01+00:00,BilkisB57247742,takkar karnataka karnatakaelect winner rahulgandhi like narendramodi rt,positive
2023-04-17 13:01:32+00:00,macrosandchaos,normal revel satyapalmalik break news cycl least month coupl week noth strang even would wonder done news success suppress far balakot narendramodi,negative
2023-04-17 11:11:43+00:00,MsControversy11,narendramodi govern known tri gain power back divis ident polit feel exclud also start play game minor feel alien group make voic heard,positive
2023-04-17 11:06:13+00:00,mohammednisarmk,former armi chief say prime minist ajith dovel jointli respons pulwama attack choukidhar abi chor nahi hey choukidar abhi prakat karnewala hey strang devote call dung patriot pulwamaattack jaihind narendramodi,neutral
2023-04-17 10:34:20+00:00,arpithayogesh,satyapalmalik narendramodi trust broken narendra modi taken soldier life famili happi mental peac ifkarmarealyouwillfac narendramodi,negative
2023-04-17 09:54:39+00:00,djesusislive,adani isnt urban elitist beti padhaao campaign want ban sex marriag even read kamasutra narendramodi bjp amitshah rss jaishankar dictatorshipsink india wtf shivasindia modimplos gujaratanamo arrestnarendramodi djesu,negative
2023-04-17 09:10:51+00:00,ArindamWords,would ask everi polit leader engag peopl public meet ralli scorch heat tri think peopl bcoz live peopl import elect amitshah rahulgandhi narendramodi,negative
2023-04-17 09:04:32+00:00,PariWriting,imagin storytim yr old babi adventur niravmodi lalitmodi narendramodi etc queri vinuphilip n na mummi modi mean load mean cub r logic intellig etc na,negative
2023-04-17 09:03:29+00:00,sharaddgaidhane,ego ignor n selfish peopl world level rich n poor alik take univers destruct becom remov reduc neg god save world narendramodi,negative
2023-04-17 08:57:04+00:00,sharaddgaidhane,modiji need help countri like russia china ukrain african etc understand peac n selfless make world safe happi fight unnecessari narendramodi pmoindia bjp,positive
